==12716== NVPROF is profiling process 12716, command: .\runnable.exe
==12716== Profiling application: .\runnable.exe
==12716== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,B,KB,KB,GB/s,,,,,,,
685.780600,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",94
685.781000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",95
685.781400,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",96
685.781700,0.001100,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",97
685.782900,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",98
685.783300,0.000100,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",99
685.783600,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",100
685.783900,0.001300,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",101
685.785300,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",102
685.785600,0.000500,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",103
685.786200,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",104
685.786600,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",105
685.786900,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",106
685.787600,0.000400,,,,,,,,,,,,,,,,,"cuDeviceGetUuid",107
685.788100,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",108
685.788500,0.000100,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",109
685.788800,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",110
685.789100,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",111
685.789500,0.000700,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",112
685.790400,0.000500,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",113
685.791000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",114
685.791400,0.003200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",115
685.794800,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",116
685.795200,0.000100,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",117
685.795500,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",118
685.795800,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",119
685.796100,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",120
685.796400,0.003200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",121
685.799800,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",122
685.800100,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",123
685.800800,0.000600,,,,,,,,,,,,,,,,,"cuDeviceGetLuid",124
685.911200,114.512600,,,,,,,,,,,,,,,,,"cudaMalloc",125
800.425000,0.006900,,,,,,,,,,,,,,,,,"cudaMalloc",126
800.432200,0.029700,,,,,,,,,,,,,,,,,"cudaMalloc",127
800.462100,0.004400,,,,,,,,,,,,,,,,,"cudaMalloc",128
800.466700,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",129
800.470500,0.004000,,,,,,,,,,,,,,,,,"cudaMalloc",130
800.474600,0.003800,,,,,,,,,,,,,,,,,"cudaMalloc",131
800.478600,0.002700,,,,,,,,,,,,,,,,,"cudaMalloc",132
800.481500,0.003500,,,,,,,,,,,,,,,,,"cudaMalloc",133
800.485200,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",134
800.489000,0.003900,,,,,,,,,,,,,,,,,"cudaMalloc",135
800.493000,0.004400,,,,,,,,,,,,,,,,,"cudaMalloc",136
800.497600,0.003800,,,,,,,,,,,,,,,,,"cudaMalloc",137
800.501600,0.002500,,,,,,,,,,,,,,,,,"cudaMalloc",138
800.504300,0.003400,,,,,,,,,,,,,,,,,"cudaMalloc",139
800.507900,0.005800,,,,,,,,,,,,,,,,,"cudaMalloc",140
800.513900,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",141
800.517700,0.055400,,,,,,,,,,,,,,,,,"cudaMalloc",142
800.573300,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",143
800.577000,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",144
800.580700,0.003500,,,,,,,,,,,,,,,,,"cudaMalloc",145
800.584400,0.003400,,,,,,,,,,,,,,,,,"cudaMalloc",146
800.588000,0.003500,,,,,,,,,,,,,,,,,"cudaMalloc",147
800.591700,0.002500,,,,,,,,,,,,,,,,,"cudaMalloc",148
800.594400,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",149
800.598200,0.003600,,,,,,,,,,,,,,,,,"cudaMalloc",150
800.602000,0.003500,,,,,,,,,,,,,,,,,"cudaMalloc",151
800.605700,0.003800,,,,,,,,,,,,,,,,,"cudaMalloc",152
800.609700,0.003700,,,,,,,,,,,,,,,,,"cudaMalloc",153
800.613600,0.032800,,,,,,,,,,,,,,,,,"cudaMalloc",154
800.646600,0.004000,,,,,,,,,,,,,,,,,"cudaMalloc",155
800.650800,0.003500,,,,,,,,,,,,,,,,,"cudaMalloc",156
800.654500,0.003400,,,,,,,,,,,,,,,,,"cudaMalloc",157
800.658200,0.061200,,,,,,,,,,,,,,,,,"cudaMemcpy",158
800.719800,0.053200,,,,,,,,,,,,,,,,,"cudaMemcpy",159
800.750998,0.000704,,,,,,,,,,0.585938,0.793741,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",158
800.773109,0.001120,,,,,,,,,,9.375000,7.982765,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",159
800.773300,0.049500,,,,,,,,,,,,,,,,,"cudaMemcpy",160
800.819701,0.062847,,,,,,,,,,187.500000,2.845226,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",160
800.823200,0.084500,,,,,,,,,,,,,,,,,"cudaMemcpy",161
800.908000,0.028900,,,,,,,,,,,,,,,,,"cudaMemcpy",162
800.912179,0.008224,,,,,,,,,,39.375000,4.566017,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",161
800.935731,0.001152,,,,,,,,,,3.281250,2.716358,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",162
802.312600,0.049300,,,,,,,,,,,,,,,,,"cudaMemcpy",163
802.356287,0.000608,,,,,,,,,,4.000000,6.274173,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",163
802.370200,1.054800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",164
803.436400,0.151300,,,,,,,,,,,,,,,,,"cudaMemcpy",165
803.473422,0.006688,1,1,6,32,32,1,32,0,4.585938,,,,,"NVIDIA GeForce MX250 (0)","1","7","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",164
